rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1010448-in_cold_blood,In Cold Blood,"In this adaptation of Truman Capote's seminal true-crime novel, ex-convicts Perry Smith (Robert Blake) and Richard ""Dick"" Hickock (Scott Wilson) hatch a plan to rob a wealthy Kansas family, the Clutters. The men enter the Clutter home expecting to find a safe filled with cash, but in fact find no money at all. Enraged, they kill the entire family and flee. While on the run, they face not only the realities of their terrible crime but also their own earthly impermanence.",In Cold Blood is a classic docudrama with a fictional thriller's grip -- and a pair of terrific lead performances from Robert Blake and Scott Wilson.,R,Drama,Richard Brooks,Richard Brooks,"Robert Blake, Scott Wilson, John Forsythe, Paul Stewart, Gerald S. O'Loughlin, Jeff Corey, John Gallaudet, James Flavin, Charles McGraw, James Lantz, Jim Lantz, Will Geer, John McLiam, Ruth Storey, Brenda Currin, Paul Hough, Vaughan Taylor, Duke Hobbie, Sheldon Allman, Sammy Thurman, Sadie Truitt, Myrtle Clare, Ted Eccles, Teddy Eccles, Raymond Hatton, Mary-Linda Rapelye, Ronda Fultz, Al Christy, Don Sollars, Harriet Levitt, Stan Levitt",1967-12-14,2012-04-16,134,Columbia Pictures,Fresh,84,38,Upright,88,8635,10,32,6
m/1010526-incubus,The Incubus,A Wisconsin doctor (John Cassavetes) and policeman (John Ireland) try to solve sexual assaults by what seems to be a demon.,,R,"Horror, Mystery & Suspense",John Hough,George Franklin,"John Cassavetes, Kerrie Keane, Duncan McIntosh, Helen Hughes, Erin Flannery, John Ireland, Harvey Atkin, Dirk McLean",1982-09-03,2016-11-18,92,Film Ventures International,Rotten,29,7,Spilled,22,1278,0,2,5
m/1010540-indiscreet,Indiscreet,"Famous theater actress Anna Kalman (Ingrid Bergman) has resigned herself to her single life, believing that she has missed her chance at meeting a husband. Weary of socializing in Europe, she returns to her London flat, where her sister Margaret (Phyllis Calvert) and diplomat brother-in-law Alfred (Cecil Parker) invite her to a banquet. She demurs until Alfred's banker friend, Philip Adams (Cary Grant), arrives and a flirtation begins. Their romance blossoms -- but he's already married.",Indiscreet spins rom-com gold out of a premise just sturdy enough to set the stage for typically delightful work from its wonderfully well-matched leads.,PG,"Classics, Comedy, Romance",Stanley Donen,Norman Krasna,"Cary Grant, Ingrid Bergman, Cecil Parker, Phyllis Calvert, David Kossoff, Megs Jenkins, Oliver Johnston, Michael Anthony, Middleton Woods, Frank Hawkins, Richard Vernon, Eric Francis, Diane Clare",1958-05-20,2015-11-19,100,Warner Bros.,Fresh,100,20,Upright,69,5977,6,20,0
m/1010553-informer,The Informer,"Gypo Nolan (Victor McLaglen) is a former Irish Republican Army man who drowns his sorrows in the bottle. He's desperate to escape his bleak Dublin life and start over in America with his girlfriend (Margot Grahame). So when British authorities advertise a reward for information about his best friend, current IRA member Frankie (Wallace Ford), Gypo cooperates. Now Gypo can buy two tickets on a boat bound for the States, but can he escape the overwhelming guilt he feels for betraying his buddy?",,NR,"Classics, Drama",John Ford,Dudley Nichols,"Victor McLaglen, Preston S. Foster, J.M. Kerrigan, Wallace Ford, Heather Angel, Margot Grahame, Una O'Connor, Joe Sawyer, Neil Fitzgerald, Donald Meek, D'Arcy Corrigan, Leo McCabe, Gaylord ""Steve"" Pendleton, Francis Ford, May Boley, Grizelda Harvey, Denis O'Dea, Jack Mulhall, Robert Parrish, Clyde Cook, Barlowe Borland, Frank Moran, Joseph Sauer, Griselda Harvey, Arthur McLaglen",1935-05-01,2015-05-07,91,Media Home Entertainment,Fresh,94,16,Upright,77,1081,0,15,1
m/1010555-inherit_the_wind,Inherit the Wind,"In the 1920s, Tennessee schoolteacher Bertram Cates (Dick York) is put on trial for violating the Butler Act, a state law that prohibits public school teachers from teaching evolution instead of creationism. Drawing intense national attention in the media with writer E. K. Hornbeck (Gene Kelly) reporting, two of the nation's leading lawyers go head to head: Matthew Harrison Brady (Fredric March) for the prosecution, and Henry Drummond (Spencer Tracy) for the defense.",,PG,"Classics, Drama, Faith & Spirituality",Stanley Kramer,"Harold Jacob Smith, Ned Young","Spencer Tracy, Fredric March, Gene Kelly, Florence Eldridge, Dick York, Donna Anderson, Harry Morgan, Elliott Reed, Elliott Reid, Philip Coolidge, Claude Akins, Paul Hartman, Jimmy Boyd, Noah Beery Jr., Gordon Polk, Ray Teal, Norman Fell, Hope Summers, Renee Godfrey, Donald Elson",1960-11-01,2016-12-17,127,MGM Home Entertainment,Fresh,92,26,Upright,91,9642,2,24,2
m/1010644-intolerance,Intolerance,"D.W. Griffith's epic intercuts between four separate stories about man's inhumanity to man. In Babylon, pacifist Prince Belshazzar is brought down by warring religious factions. In Judea, the last days of Christ (Howard Gaye) are depicted in the style of a Passion play. In France, Catherine de Medici presides over the slaughter of the Huguenots. And in California, a woman (Mae Marsh) pleads for the life of her husband (Robert Harron) when he is sentenced to hang for a murder he did not commit.","A pioneering classic and one of the most influential films ever made, D.W. Griffith's Intolerance stands as the crowning jewel in an incredible filmography.",PG,Classics,D.W. Griffith,"D.W. Griffith, Tod Browning","Lillian Gish, Mae Marsh, Robert Harron, Constance Talmadge, Bessie Love, Seena Owen, Alfred Paget, Mary Alden, Miriam Cooper, Eugene Pallette, Elmer Clifton, Fred Turner, Edmund Burns, Sam De Grasse, Vera Lewis, Eleanor Washington, Pearl Elmore, Donald Crisp, Lucille Brown, Ruth Darling, Max Davidson, Mrs. Arthus Mackley, Luray Huntley, Walter Long, Tom Wilson, Eagle Eye Cherry, Ralph Lewis, Lloyd Ingraham, A. W. McClure, Ruth Handforth, J. P. McCarthy, Dore Davidson, Monte Blue, Roben Lawlor, W.E. Lawrence, Tod Browning, Edward Dillon, Jennifer Lee, Billy Quirk, Tully Marshall, Mrs. Arthur Mackley, Marguerite Marsh, Barney Bernard, Jennie Lee, Clyde Hopkins, Loyola O'Connor, William Brown, Alberta Lee, Alma Rubens, Howard Gaye, Howard Scott, Lillian Langdon, Olga Grey, Gunther von Ritzau, Erich von Stroheim, George Walsh, W.S. Van Dyke, Margery Wilson, Winifred Westover, Ruth Handford, A. D. Sears, Mildred Harris, Frank Bennett, Maxfield Stanley, Josephine Crowell, W. E. Lawrence, Joseph Henaberry, Chandler House, Morris S. Levy, Louis Romaine, Carl Stockdale, George Siegmann, Elmo Lincoln, Pauline Starke, Gino Corrado, Wallace Reid, Ted Duncan, Felix Modjeska, George Fawcett, Robert Lawlor, Kate Bruce, Wilfred Lucas, Ruth St. Denis, Spottiswood Aitken",1916-09-05,2016-08-11,178,Cohen Media Group,Fresh,97,37,Upright,77,4908,7,36,1
m/1010672-invaders_from_mars,Invaders from Mars,"Curious adolescent boy David MacLean (Jimmy Hunt) confronts aliens who have set up base in his backyard. The extraterrestrials intend to use mind control on the local townsfolk. Determined to stop the invaders, who have already co-opted his father (Leif Erickson), he attempts to warn others. But when local law officers also succumb, David teams up with astronomer Stuart Kelston (Arthur Franz) and Dr. Pat Blake (Helena Carter), and the trio must fight together to repel the insidious intruders.",,NR,"Classics, Science Fiction & Fantasy",William Cameron Menzies,"John Tucker Battle, William Cameron Menzies, Richard Blake","Arthur Franz, Helena Carter, Leif Erickson, Jimmy Hunt, Morris Ankrum, Hillary Brooke, Max Wagner, Milburn Stone, Walter Sande, Janine Perreau, John Eldredge, Robert Shayne, Luce Potter, Lock Martin, Max Palmer, William Phipps, Bert Freed, Harry Monty",1953-04-22,2017-08-08,73,20th Century Fox Film Corporation,Fresh,82,11,Spilled,56,2765,0,9,2
m/1010673-invaders_from_mars,Invaders From Mars,A boy (Hunter Carson) sees his parents and neighbors act like zombies after a flying saucer lands in his back yard.,,PG,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Tobe Hooper,"Dan O'Bannon, Don Jakoby","Hunter Carson, Karen Black, Timothy Bottoms, Laraine Newman, James Karen, Louise Fletcher, Bud Cort, Jimmy Hunt, Eric Pierpoint, Christopher Allport, Donald Hotton, Ken Kimmins, Charlie Dell, William H. Bassett, William Frankfather, Joseph Brutsman, Eric Norris, Debra Berger, Eddy Donno, Shawn Campbell, Brett Johnson, Scott Leva, Michael McGrady, Steve Lambert, Debbie Lee Carrington, Margarita Fernandez, Dale Dye",1986-06-06,2017-05-04,98,Media Home Entertainment,Rotten,33,15,Spilled,33,3514,0,5,10
m/1010678-invasion_of_the_body_snatchers,Invasion of the Body Snatchers,"In Santa Mira, California, Dr. Miles Bennell (Kevin McCarthy) is baffled when all his patients come to him with the same complaint: their loved ones seem to have been replaced by emotionless impostors. Despite others' dismissive denials, Dr. Bennell, his former girlfriend Becky (Dana Wynter) and his friend Jack (King Donovan) soon discover that the patients' suspicions are true: an alien species of human duplicates, grown from plant-like pods, is taking over the small town.","One of the best political allegories of the 1950s, Invasion of the Body Snatchers is an efficient, chilling blend of sci-fi and horror.",PG,"Classics, Mystery & Suspense, Science Fiction & Fantasy",Don Siegel,Daniel Mainwaring,"Kevin McCarthy, Dana Wynter, Larry Gates, Carolyn Jones, King Donovan, Jean Willes, Ralph Dumke, Virginia Christine, Tom Fadden, Kenneth Patterson, Guy Way, Eileen Stevens, Beatrice Maude, Jean Andren, Bobby Clark, Everett Glass, Dabbs Greer, Pat O'Malley, Guy Rennie, Don Siegel, Marie Selland, Whit Bissell, Robert Clark, Sam Peckinpah, Richard Deacon, Harry J. Vejar",1956-01-01,2016-10-01,80,Republic Pictures Home Video,Certified-Fresh,98,57,Upright,85,19182,10,56,1
m/1010679-invasion_of_the_body_snatchers,Invasion of the Body Snatchers,"This remake of the classic horror film is set in San Francisco. Matthew Bennell (Donald Sutherland) assumes that when a friend (Brooke Adams) complains of her husband's strange mood, it's a marital issue. However, he begins to worry as more people report similar observations. His concern is confirmed when writer Jack Bellicec (Jeff Goldblum) and his wife (Veronica Cartwright) discover a mutated corpse. Besieged by an invisible enemy, Bennell must work quickly before the city is consumed.","Employing gritty camerawork and evocative sound effects, Invasion of the Body Snatchers is a powerful remake that expands upon themes and ideas only lightly explored in the original.",PG,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Philip Kaufman,W.D. Richter,"Donald Sutherland, Brooke Adams, Leonard Nimoy, Veronica Cartwright, Art Hindle, Lelia Goldoni, Jeff Goldblum, Kevin McCarthy, Don Siegel, Tom Luddy, Tom Dahlgren, Garry Goodrow, Jerry Walter, Wood Moy, Rose Kaufman, Joe Bellan, Sam Hiona, Al Nalbandian, Robert Duvall, Maurice Argent, Jerry Garcia",1978-12-22,2017-01-27,115,MGM Home Entertainment,Certified-Fresh,93,58,Upright,81,35411,9,54,4
m/1010695-invisible_man,The Invisible Man,"While researching a new drug, Dr. Jack Griffin (Claude Rains) stumbles on a potion that can make him invisible. When he reveals his new ability to his old mentor (Henry Travers) and his fiancée (Gloria Stuart), it's clear that a side effect of the potion is insanity. Jack goes on a violent rampage, and the police struggle to hunt him down, unable to see their target, while his mentor and his former partner (William Harrigan) desperately try to devise a plan to capture him.","James Whale's classic The Invisible Man features still-sharp special effects, loads of tension, a goofy sense of humor, and a memorable debut from Claude Rains.",NR,"Classics, Comedy, Horror, Science Fiction & Fantasy",James Whale,R.C. Sherriff,"Claude Rains, Gloria Stuart, Henry Travers, William Harrigan, Una O'Connor, Forrester Harvey, Holmes Herbert, E.E. Clive, Dudley Digges, Harry Stubbs, Donald Stuart, Merle Tottenham, Dwight Frye, Walter Brennan, Jameson Thomas, John Carradine, John Merivale",1933-11-13,2016-04-19,71,Realart Pictures Inc.,Certified-Fresh,94,51,Upright,85,11170,9,48,3
m/1010745-island,The Island,"Skeptical journalist Blair Maynard (Michael Caine) is assigned to explore the area known as the Bermuda Triangle, where thousands of boats have disappeared in a three-year span. When he leaves the Florida coast with his adolescent son, Justin (Jeffrey Frank), their boat is shanghaied by a group of pirates led by the tyrannical John David Nau (David Warner). The pirates, who have lived undisturbed in the area for centuries, see father and son as new blood for their increasingly inbred clan.",,R,"Drama, Horror, Mystery & Suspense",Michael Ritchie,Peter Benchley,"Michael Caine, David Warner, Angela Punch McGregor, Frank Middlemass, Don Henderson, Dudley Sutton, Colin Jeavons, Zakes Mokae, Brad Sullivan, Jeffrey Frank, John O'Leary, Bruce McLaughlin, James J. Casino, Suzanne Astor, Reg Evans, Susan Bredhoff, David Hart, Cary Hoffman, Robert Hirschfeld, Gary Hoffman, William G. Schilling, Stewart Steinberg, Bob Westmoreland, Hugo Arana, Alicia Bruzzo, Graciela Dufau, John Macchia",1980-06-13,2016-04-19,114,Universal Pictures,Rotten,40,5,Spilled,51,7403,0,2,3
m/1010752-island_of_dr_moreau,The Island of Dr. Moreau,"After his ship sinks, Andrew Braddock (Michael York) washes ashore on a tropical island owned by Dr. Moreau (Burt Lancaster). While waiting for a ship to return him to civilization, Braddock becomes disturbed by the strange creatures roaming the island, and at the same time falls for the lovely Maria (Barbara Carrera), who lives with Moreau. Soon Braddock discovers that the creatures are the results of Moreau's sinister experiments, and plots to escape before he himself becomes a victim.","The Island of Dr. Moreau takes a reasonably entertaining pass at adapting its classic source material, although key scenes are let down by struggles with special effects.",PG,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Don Taylor,"Al Ramrus, John Herman Shaner","Burt Lancaster, Michael York, Nigel Davenport, Richard Basehart, Barbara Carrera, Nick Cravat, The Great John ""L"", Bob Ozman, Fumio Demura, Gary Baxley, John Gillespie, David Cass Sr.",1977-07-13,2016-11-30,98,MGM,Rotten,56,25,Spilled,40,2513,3,14,11
m/1010762-islands_in_the_stream,Islands in the Stream,"A Hemingwayesque artist (George C. Scott) plays and drinks in the 1940s Bahamas, visited by his first wife (Claire Bloom) and three sons.",,PG,Drama,Franklin J. Schaffner,Denne Bart Petitclerc,"George C. Scott, Claire Bloom, David Hemmings, Gilbert Roland, Susan Tyrrell, Richard Evans, Julius Harris, Hart Bochner, Brad Savage, Michael-James Wixted, Charles Lampkin, Hildy Brooks, Jessica Rains, Walter Friedel",1977-03-09,2016-08-10,105,Paramount Pictures,Fresh,88,8,Upright,63,127,1,7,1
m/1010770-it,It,"When she first sets eyes on her new boss, the wealthy Cyrus Waltham Jr. (Antonio Moreno), department store clerk Betty Lou Spence (Clara Bow) is convinced he's got ""it,"" an indefinable quality that makes one irresistible to the opposite sex. Betty Lou charms her employer on a date, but Cyrus suddenly cools when he hears a false story that Betty Lou has mothered an illegitimate child. Crushed by Cyrus' assumption, the shopgirl ramps up the sex appeal to win her man back and teach him a lesson.",,NR,"Classics, Comedy, Drama, Romance","Clarence Badger, Josef von Sternberg, Clarence G. Badger","Elinor Glyn, Hope Loring, Louis D. Lighton, Frederica Maas","Clara Bow, Antonio Moreno, William Austin, Jacqueline Gadsdon, Jacqueline Gadsden, Priscilla Bonner, Julia Swayne Gordon, Eleanor Lawson, Elinor Glyn, Gary Cooper, Rose Tapley, Lloyd Corrigan",1927-02-15,2017-05-01,72,Critics' Choice Video,Fresh,87,15,Upright,81,4773,2,13,2
m/1010793-its_alive,It's Alive,"Leaving their son, Chris (Daniel Holzman), with a family friend (William Wellman Jr.), Frank (John P. Ryan) and Lenore Davis (Sharon Farrell) head to the hospital for the birth of their second child -- which turns out to be a mutant who kills many doctors and nurses as it escapes. Convinced his monstrous son must be destroyed, Frank ignores Lenore and Chris' pleas and tries to destroy the freakish progeny, unaware that the infant may be the blameless product of an experimental drug gone wrong.","Tough and unpleasant, It's Alive throttles the viewer with its bizarre mutant baby theatrics.",R,"Classics, Drama, Horror, Mystery & Suspense",Larry Cohen,Larry Cohen,"John P. Ryan, Sharon Farrell, Andrew Duggan, Guy Stockwell, James Dixon, Michael Ansara, Robert Emhardt, William Wellman Jr., Daniel Holzman, Shamus Locke, Mary Nancy Burnett, Diana Hale, Patrick MacAllister, Gerald York, Jerry Taft, Gwil Richards, W. Allen York",1973-12-31,2016-04-19,90,Warner Home Video,Fresh,74,23,Spilled,40,6171,0,17,6
m/1010824-ivanhoe,Ivanhoe,"Loyal British knight Wilfred of Ivanhoe (Robert Taylor) sets out on a mission to free the kidnapped King of England, Richard the Lionheart (Norman Wooland), in this rousing adventure tale. The brave Ivanhoe must eventually confront the devious Prince John (Guy Rolfe) and the fierce Norman warrior Brian de Bois-Guilbert (George Sanders), while also juggling the affections of the beautiful maidens Rowena (Joan Fontaine) and Rebecca (Elizabeth Taylor).",,G,"Action & Adventure, Art House & International, Classics, Drama, Romance",Richard Thorpe,"Noel Langley, Aeneas MacKenzie","Robert Taylor, Elizabeth Taylor, Joan Fontaine, George Sanders, Emlyn Williams, Robert Douglas, Finlay Currie, Felix Aylmer, Francis De Wolff, Guy Rolfe, Norman Wooland, Basil Sydney, Harold Warrender, Patrick Holt, Roderick Lovell, Sebastian Cabot, John Ruddock, Michael Brennan, Megs Jenkins, Valentine Dyall, Lionel Harris, Carl Jaffe",1952-07-31,2013-12-03,106,MGM Home Entertainment,Fresh,81,16,Upright,64,5038,3,13,3
m/1010837-jack_and_the_beanstalk,Jack and the Beanstalk,"Jack (Lou Costello) and his ""agent,"" Mr. Dinkel (Bud Abbott), are struggling to find work through an employment agency. They land a gig baby-sitting a troublesome boy named Donald (David Stollery). Trying to get the child to sleep, Jack reads him the fairy tale ""Jack and the Beanstalk"" which subsequently lulls Jack asleep, transporting him into the fantasy world of the storybook. There, he encounters magic beans, a giant and a princess in distress, among other things.",,G,"Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Jean Yarbrough,Nathaniel Curtis,"Bud Abbott, Dorothy Ford, Lou Costello, Buddy Baer, Dorothy Ford, Barbara Brown, David Stollery, William Farnum, Shaye Cogan, James Alexander, Joe Kirk",1952-04-12,2014-11-07,78,VCI,Rotten,43,7,Spilled,38,437,0,3,4
m/1010849-jack_frost,Jack Frost,,,G,"Animation, Kids & Family, Musical & Performing Arts, Television","Jules Bass, Arthur Rankin Jr.",Romeo Muller,"Robert Morse, Buddy Hackett, Debra Clinger, Larry Storch, Paul H. Frees, Dave Garroway, Don Messick, Sonny Melendrez",1979-12-13,,,WARNER BROTHERS PICTURES,Rotten,57,7,Upright,61,6981,3,4,3
m/1010889-jamaica_inn,Jamaica Inn,"After the death of her mother, young Mary (Maureen O'Hara) travels to the Cornish coast seeking her Aunt Patience (Marie Ney). Stranded on a windswept, isolated road, Mary meets Humphrey Pengallan (Charles Laughton), who kindly escorts her to the Jamaica Inn. There, Mary meets her aunt and bullying uncle, Merlyn Joss (Leslie Banks) -- who secretly leads a band of pirates that pilfers the goods from wrecked ships. Suspicious, Mary turns to Pengallan for help, only to discover another dark secret.",,NR,"Action & Adventure, Art House & International, Classics, Mystery & Suspense",Alfred Hitchcock,"Sidney Gilliat, J.B. Priestley, Alma Reville, Joan Harrison","Maureen O'Hara, Charles Laughton, Leslie Banks, Emlyn Williams, Robert Newton, Wylie Watson, Marie Ney, Morland Graham, Stephen Haggard, Mervyn Johns, Edwin Greenwood, Horace Hodges, Jeanne De Casalis, Basil Radford, George Curzon, John Longden, Hay Petrie, Frederick Piper, Mervyn Jones, William Devlin, Herbert Lomas, Clare Greet, A. Bromley Davenport, Mabel Terry-Lewis, Aubrey Mather, Marie Ault, O.B. Clarence, Mary Jerrold, Archie Harradine, Harry Lane, William Fazan, Alan Lewis, Philip Ray, George Smith, Robert A'Dair, Sam Lee, George Gurzon",1939-10-13,2016-12-09,99,Paramount Pictures,Rotten,57,21,Spilled,36,4025,5,12,9
m/1010939-jason_and_the_argonauts,Jason and the Argonauts,"After saving the life of his royal father's usurper, Pelias (Douglas Wilmer), whom he fails to recognize, Jason (Todd Armstrong) is encouraged by the conniving murderer to begin a quest in search of the Golden Fleece. In doing so, Pelias hopes for Jason's death to thwart the prophecy that he will reclaim the throne. Along the journey, Jason is protected by the goddess Hera (Honor Blackman), and his crew includes Hercules (Nigel Green) and Acastus (Gary Raymond), a saboteur planted by Pelias.","Don Chaffey's Jason and the Argonauts is an outlandish, transportive piece of nostalgia whose real star is the masterful stop-motion animation work of Ray Harryhausen.",G,"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy",Don Chaffey,"Beverley Cross, Jan Read","Todd Armstrong, Nancy Kovack, Gary Raymond, Laurence Naismith, Niall MacGinnis, Michael Gwynn, Douglas Wilmer, Jack Gwillim, Honor Blackman, John Cairney, Patrick Troughton, Andrew Faulds, Nigel Green, Nando Poggi, John Crawford, Doug Robinson, Jack Gwyllim, Don Chaffey",1963-06-19,2012-04-16,104,Columbia Pictures,Certified-Fresh,89,45,Upright,79,22745,5,40,5
m/1010978-jazz_singer,The Jazz Singer,"Young Jakie Rabinowitz (Bobby Gordon) loves jazz and ragtime, and wants to be a performer. But his father (Warner Oland) is a cantor, and he orders his son to carry on the family tradition. Jakie tries his hand anyway, only to be discovered by neighbor Moisha Yudelson (Otto Lederer) and kicked out of the house. A decade later, an older Jakie (Al Jolson) has followed his dream, changed his name and found love with performer Mary (May McAvoy), but he still wants to win his father over.",,NR,"Classics, Drama, Musical & Performing Arts",Alan Crosland,"Alfred A. Cohn, Jack Jarmuth","Al Jolson, May McAvoy, Warner Oland, Eugénie Besserer, Bobby Gordon, Otto Lederer, Cantor Josef Rosenblatt, Richard Tucker, Nat Carr, William Demarest, Anders Randolf, William Walling, Jane Arden, Roscoe Karns, Myrna Loy, Ena Gregory, Violet Bird, Audrey Ferris, Louis Silvers",1927-10-06,2009-01-01,97,Warner Bros.,Fresh,75,28,Spilled,56,4506,4,21,7
m/1010979-jazz_singer,The Jazz Singer,"Jess Robin (Neil Diamond) dreams of a career in popular music, but his father, Cantor Rabinovitch (Laurence Olivier), forbids it, insisting Jess live as a traditional Jew and inherit his position at the synagogue. With the help of friend and professional musician Bubba (Franklin Ajaye), Jess gets a chance to go to Los Angeles and have famous singer Keith Lennox (Paul Nicholas) record one of his songs. Defying both his father and his wife, Jess leaves New York to pursue his dreams.","Neil Diamond's foray into acting is a total miss in this gaudy and unconvincing remake, with Laurence Olivier on hand to deliver an excruciatingly campy performance.",PG,"Drama, Musical & Performing Arts",Richard Fleischer,"Stephen H. Foreman, Arthur Laurents, Harbert Baker","Neil Diamond, Laurence Olivier, Lucie Arnez, Lucie Arnaz, Catlin Adams, Franklyn Ajaye, Paul Nicholas, Sully Boyar, James Booth, Mike Kellin, Luther Waters, Rod Gist, Oren Waters, Walter Janowitz, Janet Brandt, John Witherspoon, Dale Robinette, Hank Garrett, James Karen, Jill Jaress, Victor Paul",1980-12-19,2016-10-06,115,LionsGate Entertainment,Rotten,19,21,Upright,70,4953,4,4,17
m/1011028-jesus_christ_superstar,Jesus Christ Superstar,"Adapted from Andrew Lloyd Webber and Tim Rice's Broadway rock opera, ""Jesus Christ Superstar"" recounts the last days of Jesus Christ (Ted Neeley) from the perspective of Judas Iscariot (Carl Anderson), his betrayer. As Jesus' following increases, Judas begins to worry that Jesus is falling for his own hype, forgetting the principles of his teachings and growing too close to the prostitute Mary Magdalene (Yvonne Elliman). After Jesus has an outburst in a temple, Judas turns on him.","Jesus Christ Superstar has too much spunk to fall into sacrilege, but miscasting and tonal monotony halts this musical's groove.",G,"Drama, Musical & Performing Arts, Faith & Spirituality",Norman Jewison,"Melvyn Bragg, Norman Jewison","Ted Neeley, Yvonne Elliman, Carl Anderson (II), Barry Dennen, Bob Bingham, Larry T. Marshall, Josh Mostel, Pi Douglas, Philip Toubus, Kurt Yahgjian, Pi Douglass, Jonathan Wynne, Richard Molinare, Jeffrey Hyslop, Robert LuPone, Thommie Walsh, David Devir, Larry Marshall, Richard Orbach, Shooki Wagner, Darcel Wynne, Sally Neal, Vera Biloshisky, Wendy Maltby, Baayork Lee, Susan Allanson, Ellen Hoffman, Judith Daby, Adaya Pilo, Marcia McBroom, Leeyan Granger, Kathryn Wright, Denise Pence, Wyetta Turner, Tamar Zafria, Riki Oren, Lea Kestin, Zvulun Cohen, Meir Israel, Itzhak Sidranski, David Rfjwan, Amity Razi, Avi Ben-Haim, Haim Bashi, David Duack, Steve Boockvor, Peter Luria, David Barkan, Danny Basevitch, Cliff Michaelevski, Tom Guest, Stephen Denenberg, Didi Liekov, Doron Gaash, Noam Cohen, Zvi Lehat, Moshe Uziel, Andre Previn",1973-08-15,2016-04-19,107,Universal Studios,Rotten,52,25,Upright,76,36376,3,13,12
m/1011176-johnny_belinda,Johnny Belinda,"In this acclaimed drama, Belinda McDonald (Jane Wyman), a young deaf-mute woman living off the coast of Canada on Cape Breton Island, becomes close to the new local doctor, Robert Richardson (Lew Ayres). When Belinda is raped by a customer at her family's farm and becomes pregnant, many suspect Dr. Richardson. Seeking to start over in a new location with Belinda, he leaves town to find a new home, but more conflicts ensue, further jeopardizing their happiness.",,NR,"Classics, Drama",Jean Negulesco,"Allen Vincent, Irma von Cube","Jane Wyman, Lew Ayres, Charles Bickford, Agnes Moorehead, Stephen McNally, Dan Seymour, Mabel Paige, Rosalind Ivan, Jan Sterling, Ida Moore, Alan Napier, Monte Blue, Douglas Kennedy, James Craven, Jeff Richards, Richard Walsh, Joan Winfield, Ian Wolfe, Holmes Herbert, Jonathan Hale, Ray Montgomery, Creighton Hale, Frederic Worlock, Franklin Farnum, Barbara Bates, Blayney Lewis, Charles Horvath, 'Snub' Pollard",1948-09-14,2016-11-21,102,Warner Bros. Pictures,Fresh,89,9,Upright,88,1429,0,8,1
m/1011295-judex,Judex,"Vigilante hero Judex (Channing Pollack) goes after Favraux (Michel Vitold), a crooked banker who defrauded scores of unwitting lenders. To make him pay for his crime, Judex slips the swindler a potion at the engagement party of his daughter Jacqueline (Édith Scob). Favraux appears to drop dead; one grave-digging expedition later, Judex has revived the big shot to administer justice! But the avenger will still have to keep one eye on Favraux's scheming governess, Diana Monti (Francine Bergé).",,NR,"Action & Adventure, Art House & International, Classics, Drama",Georges Franju,"Jacques Champreux, Francis Lacassin","Channing Pollock, Sylva Koscina, Edith Scob, Francine Bergé, Michel Vitold, Jacques Jouanneau, Theo Sarapo, Benjamin Boda, Philippe Mareuil, Rene Genin, Jean Degrave, Luigi Cortese, Roger Fradet, Ketty France, Suzanne Gossen, André Méliès",1963-12-04,2016-09-09,95,CFFP,Fresh,90,10,Upright,82,390,1,9,1
m/1011328-julius_caesar,Julius Caesar,"Brutus (James Mason) is convinced by a scheming band of Roman senators, led by Caius Cassius (John Gielgud), that his dear friend Julius Caesar (Louis Calhern) intends to dissolve the republic and install himself as monarch, and he joins a conspiracy to assassinate him. Brutus stirringly defends his actions, but when Mark Antony (Marlon Brando) responds with a speech that plays upon the crowd's love for their fallen leader, a battle between the two factions is assured.","A sterling cast gives Shakespeare's tale of betrayal and reprisals body and fine form, with Marlon Brando displaying a galvanizing command over the Bard's language.",NR,"Classics, Drama, Mystery & Suspense",Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Marlon Brando, James Mason, John Gielgud, Louis Calhern, Edmond O'Brien, Greer Garson, Deborah Kerr, George Macready, Michael Pate, Richard Hale, Alan Napier, John Parrish, William Cottrell, John Hardy, John Hoyt, Tom Powers, Jack Raine, Ian Wolfe, Lumsden Hare, Morgan Farley, Victor Perry, Douglass Watson, Douglass Dumbrille, Rhys Williams, Michael Ansara, Dayton Lummis, John Lupton, Preston Hanson, Joseph Waring, Steve Roberts, O.Z. Whitehead, Thomas Browne Henry, Edmund Purdom, John Doucette, Chet Stratton, Michael Tolan, William Phipps, Paul Guilfoyle, Lawrence Dobkin, David Bond, Jo Gilbert, Ann Tyrrell, John O'Malley, Oliver Blake, Alvin Hurwitz, Donald Elson, Ned Glass, Stephen Roberts",1953-06-03,2008-01-01,121,MGM Home Entertainment,Fresh,95,22,Upright,81,5248,6,21,1
